TerraIndigena,Legal stability,Environmental integrity,Environmental integrity in the buffer zone,Territorial integrity,Absence of threats due to infrastructure projects,Absence of pressure from infrastructure projects,Governance,lat,long,population,area
Cacau do Tarauacá,1,0.97,0.71,0.4,1,1,0.1,-7.44465,-69.91124,230,28367
Cachoeira Seca,1,0.7,0.61,0.33,0.83,0.5,0.1,-4.31183,-54.03694,88,733688
Cacique Fontoura,0.2,0.74,0.79,0.72,0.61,0.61,0.63,-11.3581,-50.81541,489,32069
Caititu,1,0.96,0.84,0.93,0.61,0.61,1,-7.82833,-64.77758,1022,308062
Cajueiro,1,0.95,0.86,0.78,0.83,0.78,0.63,3.76547,-61.30568,168,4304
Cajuhiri Atravessado,0.65,0.89,0.75,1,0.72,0.78,0.6,-3.9838,-63.36888,51,12455
Camadeni,1,0.99,1,1,1,1,0.63,-7.21141,-67.08586,148,150930
Camicuã,1,0.97,0.8,0.43,0.61,0.61,1,-8.63915,-67.56441,454,58519
Campinas/Katukina,1,0.95,0.64,0.4,0.83,0.89,0.98,-7.8169,-72.17408,700,32623
Cana Brava,0.8,0.66,0.52,0.67,0.78,0.61,0.5,-5.60717,-45.56472,4510,137329
Canauanim,0.8,0.94,0.63,0.72,0.61,0.67,0.63,2.77405,-60.49488,1338,11182
Capoto/Jarina,0.8,0.94,0.6,0.72,1,1,0.65,-10.28654,-53.121,1388,634915
Caru,1,0.87,0.43,0.4,0.72,0.78,0.98,-3.70202,-46.33582,400,172667
Catipari/Mamoriá,1,0.99,0.81,0.57,1,0.78,0.63,-7.50736,-66.74705,197,115044
Chão Preto,0.8,0.69,0.75,1,0.83,0.61,0.1,-14.58334,-53.23576,56,12740
Coatá-Laranjal,1,0.94,0.81,0.4,0.78,0.78,1,-4.62991,-59.12254,2484,1153210
Cobra Grande,0.35,0.45,0.28,0.29,0.83,0.78,0.5,-2.31525,-55.15578,583,8906
Cué-Cué/Marabitanas,0.45,0.96,0.92,1,0.67,0.61,0.9,0.72087,-66.95021,1864,808645
Cuia,1,0.68,0.55,1,1,0.78,0.61,-3.51305,-59.20841,77,1322
Cuiú-Cuiú,1,0.89,0.89,0.89,1,1,0.5,-2.3595,-65.02601,721,36450
Cunhã-Sapucaia,1,0.94,0.92,0.89,0.61,0.78,0.63,-4.44076,-60.43064,587,471450
Deni,0.8,0.95,1,0.67,1,0.61,1,-6.88821,-67.50789,1470,1531300
Diahui,1,0.96,0.99,0.78,0.83,0.78,0.5,-8.04616,-62.27257,115,47354
Enawenê Nawê,0.8,0.98,0.91,0.5,0.67,0.28,0.55,-12.07152,-59.1827,737,742088
Erikpatsa,1,0.97,0.65,0.46,0.61,0.39,0.65,-11.35192,-58.2411,676,79935
Escondido,0.8,0.95,0.74,0.78,0.83,0.56,1,-9.50154,-58.64077,45,168938
Espírito Santo,1,1,0.84,0.61,1,1,1,-2.72304,-67.07874,425,33849
Estação Parecis,0.2,0.98,0.75,0.4,0.67,0.61,0.1,-14.14027,-56.926,26,2170
Estivadinho,1,0.94,0.73,0.78,1,0.83,0.1,-14.58882,-58.65411,37,2032
Estrela da Paz,1,0.92,0.75,0.89,1,0.78,0.63,-2.85864,-66.86966,645,12876
Évare  I,1,0.92,0.88,0.4,0.78,0.61,0.58,-3.79304,-69.66066,18086,548177
Évare II,1,0.93,0.92,0.4,0.78,0.61,0.63,-3.82497,-69.27592,2347,176205
Figueiras,1,0.96,0.91,0.78,0.83,0.83,0.1,-14.76708,-58.6551,21,9858
Fortaleza do Castanho,1,0.86,0.9,1,0.83,0.78,0.1,-3.75647,-60.53205,83,2756
Fortaleza do Patauá,1,0.91,0.74,1,0.78,0.78,0.5,-3.14788,-60.74379,22,743
Funil,1,0.86,0.82,0.57,0.06,0.39,0.6,-9.63934,-48.3201,348,15703
Galibi,1,0.95,0.89,0.79,0.44,0.78,1,3.94759,-51.72946,8158,6689
Gavião,1,0.9,0.53,1,0.83,0.78,0.1,-3.4254,-59.48547,115,8611
Geralda/Toco Preto,1,0.75,0.47,0.29,0.94,0.78,0.63,-5.01564,-45.70703,969,18506
Governador,1,0.77,0.63,0.5,0.94,1,1,-5.51358,-46.64739,655,41644
Guajahã,1,1,0.85,1,0.78,0.78,0.63,-7.71838,-66.85721,65,5036
Guanabara,0.45,0.92,0.81,1,1,0.61,0.5,-4.57146,-69.87442,382,15600
Hi-Merimã,1,1,1,0.71,1,0.83,0.65,-7.41941,-65.65657,,67840
Igarapé Capanã,1,1,0.85,0.72,0.83,1,0.63,-8.83966,-68.15733,85,122555
Igarapé Grande,0.8,0.78,0.51,0.82,1,1,1,-3.23111,-64.8792,52,1539
Igarapé Lage,1,0.96,0.39,0.78,0.61,0.61,0.63,-10.53684,-65.02743,783,107321
Igarapé Lourdes,1,0.92,0.54,0.07,0.61,0.78,0.9,-10.46221,-61.67055,984,185534
Igarapé Ribeirão,1,0.93,0.35,0.67,0.61,0.61,0.63,-10.26508,-65.11021,289,47863
Igarapé do Caucho,1,0.83,0.58,1,0.61,0.61,1,-8.26626,-70.6944,386,12318
Ilha do Camaleão,1,0.77,0.94,1,1,1,0.5,-3.67396,-61.49953,565,236
Inauini/Teuini,1,0.97,0.71,0.93,1,1,0.53,-7.96094,-68.18377,246,468996
Inãwébohona,0.8,0.84,0.89,0.29,1,0.78,0.4,-10.67031,-50.16199,226,377114
Ipixuna,1,0.98,0.78,0.78,0.78,0.78,1,-6.75148,-62.19382,64,215362
Irantxe,1,0.91,0.55,0.5,0.67,0.61,0.98,-12.84315,-57.96035,373,45555
Itaitinga,1,1,0.48,1,1,0.78,0.1,-3.56337,-59.19648,25,135
Itixi Mitari,0.65,0.94,0.9,0.4,1,1,0.5,-4.68397,-62.59804,311,182134
Jaboti,1,0.95,0.78,0.72,0.61,0.78,0.63,3.21301,-60.29601,405,14210
Jacamim,1,0.95,0.93,0.57,1,0.78,1,1.98953,-59.84978,1538,193493
Jaminawa do Igarapé Preto,1,0.99,0.8,0.4,0.83,0.83,0.63,-8.01921,-72.92364,171,25651
Jaminawa/Arara do Rio Bagé,1,1,0.72,0.78,1,1,0.98,-8.83356,-72.19476,195,28926
Jaminawa/Envira,1,0.99,0.9,0.67,1,1,0.55,-9.56212,-71.08854,77,80618
Japuíra,0.8,0.98,0.61,0.89,0.83,0.39,0.65,-10.76329,-58.21247,357,152509
Jaquiri,1,1,0.63,0.57,1,1,0.4,-3.08456,-64.88148,82,1820
Jarawara/Jamamadi/Kanamanti,1,0.95,0.82,0.33,0.83,0.83,1,-7.18479,-65.3838,527,390233
Jatuarana,1,0.98,0.74,1,0.78,0.78,0.5,-3.09043,-60.91734,65,5251
Jauary,0.3,0.4,0.46,0.5,0.78,0.78,0.5,-3.4182,-59.06151,337,24831
Juininha,1,0.93,0.89,0.78,0.67,0.56,0.23,-14.46532,-59.17077,70,70537
Juma,1,1,0.92,1,0.83,0.78,0.5,-7.35647,-63.96734,15,38351
Juminá,1,0.96,0.92,1,0.67,0.78,1,4.07741,-51.58536,291,41601
Jurubaxi-Téa,0.5,0.99,0.94,0.46,0.78,0.78,0.5,-0.97906,-65.22939,904,1208155
Kampa do Igarapé Primavera,1,0.99,0.81,0.67,1,1,0.98,-8.62854,-71.73677,26,21987
Kampa do Rio Amônea,1,0.99,0.91,0.67,1,0.83,1,-9.30659,-73.00707,940,87205
Kampa e Isolados do Rio Envira,1,0.98,1,0.78,1,1,0.65,-9.8255,-71.78007,283,232795
Kanamari do Rio Juruá,1,0.96,0.83,0.71,1,1,0.61,-6.91408,-68.99242,806,596433
Kanela,1,0.85,0.86,0.67,1,1,1,-6.0437,-45.10179,2103,125212
Kanela/Memortumré,0.1,0.84,0.88,1,0.83,0.83,0.1,-6.2901,-45.18273,1961,100221
Karajá Santana do Araguaia,1,0.85,0.49,1,0.83,0.61,0.1,-8.88173,-49.77038,69,1485
Karajá de Aruanã II,1,0.97,0.61,0.72,0.78,0.61,0.2,-14.91264,-51.10522,,893
Kararaô,1,1,0.82,0.89,0.83,1,0.1,-4.15216,-52.9777,58,330838
Karipuna,1,0.91,0.36,0.29,0.83,0.61,0.98,-10.06285,-64.51575,55,152930
Karitiana,1,0.97,0.58,0.21,0.61,0.67,0.63,-9.33408,-64.05282,450,89682
Katukina/Kaxinawa,1,0.9,0.6,0.67,0.61,0.61,1,-8.07424,-70.40408,1259,23474
Kawahiva do Rio Pardo,0.3,0.95,0.72,0.28,0.83,0.39,0,-9.06207,-59.92428,,411848
Kaxarari,0.8,0.92,0.7,0.93,0.83,0.5,0.63,-9.41796,-66.31674,445,145889
Kaxinawa Nova Olinda,1,0.96,0.76,1,1,0.83,0.63,-9.16987,-70.70946,406,27533
Kaxinawa Praia do Carapanã,1,0.94,0.82,0.57,0.83,0.89,0.98,-8.3964,-71.37375,571,60698
Kaxinawa da Colônia Vinte e Sete,1,0.43,0.5,1,0.61,0.78,1,-8.102,-70.78324,114,105
Kaxinawa do Baixo Jordão,1,0.91,0.69,0.89,1,0.78,0.98,-9.27277,-72.02289,172,8726
Kaxinawa do Rio Humaitá,1,1,0.72,0.57,1,1,1,-9.27641,-71.51456,331,127383
Kaxinawa do Rio Jordão,1,0.95,0.8,1,1,1,0.98,-9.55393,-72.14331,1470,87293
Kaxinawa/Ashaninka do Rio Breu,1,0.99,1,0.78,1,1,1,-9.48168,-72.37243,503,31277
Kaxuyana-Tunayana,0.35,0.96,0.98,1,0.61,0.61,0.4,-0.16963,-57.03874,841,2184120
Kayabi,0.45,0.89,0.71,0.18,0.78,0.56,0.53,-8.92219,-57.31936,768,1053257
Kayapó,1,0.99,0.58,0.78,0.61,0.61,0.65,-7.84215,-51.99039,4548,3284005
Koatinemo,1,0.98,0.69,0.78,1,0.61,0.5,-4.24197,-52.28037,182,387834
Kraolândia,1,0.73,0.81,0.51,0.61,0.56,1,-8.46221,-47.46029,2992,302533
Krikati,0.8,0.66,0.53,0.5,0.83,0.78,1,-5.85454,-46.95853,1016,144775
Kulina do Igarapé do Pau,1,0.97,0.88,0.78,1,1,0.63,-9.22939,-71.01142,270,45590
Kulina do Médio Juruá,1,0.97,0.85,1,0.83,1,0.52,-7.3101,-70.62913,2458,730142
Kulina do Rio Envira,1,0.99,0.99,0.4,1,1,0.63,-9.40612,-71.37637,166,84365
Kumaru do Lago Ualá,1,0.99,0.88,0.67,0.78,0.78,0.5,-2.97448,-65.79785,802,80036
Kuruáya,1,1,0.86,0.5,1,0.67,0.5,-5.73106,-54.58587,163,166784
Kwazá do Rio São Pedro,1,0.94,0.67,0,0.83,0.61,0.23,-12.36899,-61.39576,25,16799
Lago Aiapuá,1,0.9,0.96,0.89,1,1,0.1,-4.37917,-62.14288,623,24866
Lago Beruri,1,0.91,0.72,1,1,1,0.1,-3.80532,-61.27504,26,4080
Lago Capanã,1,1,0.74,0.57,0.83,1,0.5,-6.04384,-62.21433,197,6321
Lago Jauari,1,0.94,0.81,0.79,0.78,0.78,0.5,-6.19908,-61.96327,187,12023
Lago do Correio,1,0.99,0.92,1,1,0.61,0.5,-2.93325,-69.05418,50,13209
Lago do Limão,0.5,0.99,0.88,1,1,0.78,0.1,-4.26958,-59.92797,115,8210
Lago do Marinheiro,1,0.86,0.79,1,0.83,0.78,0.1,-3.5995,-59.99951,75,3586
Lagoa Comprida,1,0.67,0.42,0.78,0.78,0.83,0.5,-5.34492,-45.74333,805,13198
Lagoa dos Brincos,1,1,0.81,1,0.67,0.78,0.1,-13.26633,-60.19242,65,1845
Las Casas,1,0.32,0.12,0.78,0.78,0.61,0.98,-7.89027,-49.91432,409,21344
Lauro Sodré,1,0.95,0.66,1,1,0.61,0.5,-4.51583,-69.90051,667,9478
Macarrão,1,0.95,0.89,0.89,1,1,0.65,-2.92292,-67.13938,721,44267
Mãe Maria,1,0.92,0.28,0.79,0.44,0.33,0.6,-5.11589,-48.91289,760,62488
Malacacheta,1,0.84,0.66,1,0.61,0.67,0.63,2.59598,-60.4724,1013,28631
Mamoadate,1,0.95,0.97,0.78,1,1,1,-10.68956,-70.22422,1105,313647
Mangueira,1,0.89,0.87,0.78,1,0.56,1,3.25661,-61.4098,93,4063
Manoá/Pium,1,0.84,0.6,1,0.83,0.78,0.98,2.9749,-60.08375,2741,43337
Manoki,0.25,0.78,0.75,0.5,0.67,0.5,0.6,-12.8086,-57.64685,250,206445
Mapari,0.65,1,0.74,0.67,0.78,0.78,0.5,-2.163,-67.22174,36,157246
Maraã/Urubaxi,1,0.92,0.84,0.89,0.78,0.78,1,-1.63398,-65.46761,185,94405
Maraitá,1,1,0.7,1,1,0.78,0.1,-3.23391,-68.34474,181,53038
Marãiwatsédé,0.8,0.3,0.45,0.72,0.83,0.78,1,-11.84709,-51.68883,781,165241
Marajaí,1,0.31,0.51,1,1,1,1,-3.19492,-64.82629,543,1196
Marakaxi,0.45,0.46,0.36,1,0.78,0.78,0.1,-2.35138,-47.96794,32,720
Maranduba,1,0.96,0.41,1,0.83,0.61,0.1,-8.87912,-49.69815,80,375
Marechal Rondon,1,0.86,0.6,1,1,0.61,0.1,-14.00868,-53.97244,551,98500
Maró,0.1,0.96,0.75,1,1,0.78,0.1,-2.78701,-55.82638,239,42373
Massaco,1,0.95,0.84,0.28,0.83,0.78,0,-12.60807,-62.63451,,421895
Matintin,1,0.99,0.96,1,1,0.61,0.1,-2.90616,-68.45504,274,21760
Mawetek,1,0.98,0.77,1,0.78,0.78,0.61,-6.62981,-70.31705,151,115492
Médio Rio Negro I,1,0.96,0.89,0.72,0.78,0.61,1,-0.63426,-67.7135,1989,1776440
Médio Rio Negro II,1,0.99,0.96,0.82,0.78,0.44,0.9,-0.18752,-66.32433,1367,316194
Menkragnoti,1,0.93,0.75,1,0.83,0.61,0.65,-8.45393,-53.35042,1264,4914255
Menku,1,0.94,0.83,0.5,0.78,0.44,1,-12.18635,-58.41435,129,47094
Menkü (reestudo),0.1,0.68,0.74,0.5,0.78,0.22,0.18,-12.26092,-58.29611,104,146398
Méria,1,0.46,0.5,0.82,1,1,1,-3.22569,-64.85508,68,585
Merure,0.8,0.92,0.68,1,0.83,0.39,0.6,-15.58301,-53.04461,657,82301
Miguel/Josefa,1,0.41,0.48,1,1,0.78,0.5,-3.8117,-59.15296,448,1628
Miratu,1,0.86,0.68,0.61,1,0.78,0.61,-3.03324,-65.23587,126,13199
Morro Branco,1,0.3,0.38,1,0.61,0.61,0.5,-5.79977,-46.10288,587,49
Moskow,1,0.76,0.59,0.79,0.83,0.78,0.65,2.76522,-60.16619,712,14212
Mundurucu,1,0.94,0.69,0.67,0.61,0.56,0.5,-7.29525,-57.57801,6518,2381800
Munduruku-Taquara,0.5,0.89,0.64,0.5,0.83,1,0.4,-3.2358,-55.05051,171,25232
Muriru,1,0.8,0.63,0.72,0.83,0.78,0.65,2.56575,-60.20967,156,5555
Murutinga/Tracajá,0.5,0.63,0.51,0.5,1,0.78,0.61,-3.32385,-59.19592,1534,13286
Nambiquara,1,0.98,0.82,0.28,0.44,0.22,0.63,-13.02759,-59.41741,476,1011960
Natal/Felicidade,1,1,0.52,1,1,0.78,0.1,-3.56374,-59.21987,118,313
Nhamundá-Mapuera,1,0.94,1,0.5,1,0.78,1,-0.76317,-58.17561,2293,1049520
Nova Esperança do Rio Jandiatuba,1,0.99,0.73,0.18,0.78,0.61,0.5,-3.57655,-68.74283,275,20003
Nove de Janeiro,1,0.97,0.69,0.67,0.61,0.78,1,-7.47,-62.64258,206,228777
Nukini,1,0.95,0.74,1,1,0.61,1,-7.38386,-73.47227,622,27263
Ouro,1,0.96,0.77,0.78,0.61,0.78,0.63,3.50624,-60.67582,189,13573
Pacaás-Novas,1,0.91,0.72,0.67,0.83,0.78,1,-11.35777,-65.09841,1312,279906
Padre,1,0.92,0.52,1,1,0.78,0.61,-3.74323,-59.18674,22,797
Panará,1,0.92,0.69,0.5,0.83,0.61,0.65,-9.36988,-54.17041,542,499740
Paquiçamba,1,0.99,0.63,0.67,0.61,0.61,0.64,-3.4787,-51.80998,95,4348
Paquiçamba (reestudo),0.45,0.81,0.49,0.67,0.61,0.61,0.1,-3.40378,-51.72844,83,15733
Parabubure,1,0.75,0.62,0.07,0.83,0.61,0.61,-14.4273,-53.18374,3819,224447
Paracuhuba,1,0.75,0.44,1,0.78,0.78,0.61,-3.55323,-59.07413,134,927
Parakanã,1,0.95,0.4,0.5,0.83,0.61,0.22,-4.79758,-50.16937,1000,351697
Paraná do Arauató,1,0.82,0.68,1,1,0.78,0.1,-3.22791,-58.6563,103,5915
Paraná do Boá-Boá,1,1,0.76,0.89,0.78,0.78,0.5,-1.67867,-67.16165,347,240545
Paraná do Paricá,1,1,0.94,0.4,1,1,0.5,-1.88349,-65.84081,34,7866
Pareci,0.8,0.83,0.71,0.65,0.67,0.44,0.65,-14.25862,-58.58657,919,563586
Patauá,1,0.72,0.41,0.89,1,0.78,0.5,-3.44413,-59.29973,47,615
Paukalirajausu,0.3,0.63,0.47,1,0.44,0.61,0.1,-14.75548,-59.64889,117,8400
Paumari do Cuniuá,1,1,0.81,0.6,1,1,0.65,-6.06398,-64.92705,96,42828
Paumari do Lago Manissuã,1,0.99,0.87,0.4,1,1,0.65,-5.7945,-64.58253,67,22970
Paumari do Lago Marahã,1,0.97,0.73,0.4,1,0.61,0.56,-7.62174,-65.24016,1076,118766
Paumari do Lago Paricá,1,0.98,1,0.5,1,1,0.65,-5.93248,-64.71175,159,15792
Paumari do Rio Ituxi,1,0.95,0.91,0.67,0.83,0.83,0.5,-7.38352,-64.98525,235,7572
Peneri/Tacaquiri,1,0.97,0.73,0.89,1,0.61,0.63,-8.169,-67.09775,791,189870
Pequizal,1,0.9,0.53,1,0.67,0.61,0.1,-14.28471,-59.86768,45,9886
Pequizal do Naruvôtu,0.45,0.75,0.71,0.51,1,0.72,1,-12.94884,-52.86303,69,27978
Perigara,1,0.76,0.89,1,0.83,1,0.21,-16.85776,-56.18382,104,10740
Pimentel Barbosa,0.8,0.8,0.72,1,0.83,0.5,0.65,-13.38827,-51.65634,1759,328966
Pinatuba,1,0.93,0.78,1,0.78,0.61,0.1,-5.66756,-60.75332,608,29564
