TerraIndigena,Legal stability,Environmental integrity,Environmental integrity in the buffer zone,Territorial integrity,Absence of threats due to infrastructure projects,Absence of pressure from infrastructure projects,Governance,lat,long,population,area
Riozinho,0.5,1,0.86,1,1,1,0.5,-3.55137,-67.03467,196,362495
Riozinho do Alto Envira,0.65,1,0.99,0.78,1,0.83,0.4,-9.76489,-71.22428,101,260972
Roosevelt,1,0.95,0.76,0.56,0.78,0.61,0.64,-11.10808,-60.61457,1817,230826
Sagarana,1,0.85,0.7,0.89,1,1,0.63,-11.89943,-64.97713,342,18120
Sai Cinza,1,0.95,0.71,0.78,0.61,0.56,0.5,-6.52482,-57.99597,1739,125552
Sangradouro/Volta Grande,0.8,0.83,0.45,0.72,0.61,0.39,1,-15.42435,-53.86168,882,100280
Santa Cruz da Nova Aliança,1,0.94,0.84,1,1,1,0.1,-2.8019,-67.70123,339,5969
Santa Inês,1,0.94,0.94,0.78,0.83,0.78,0.63,4.19517,-61.36877,195,29698
Santana,1,0.93,0.53,1,1,0.78,0.5,-14.19067,-55.41877,206,35471
São Domingos,0.8,0.78,0.84,0.4,0.61,0.61,1,-11.27669,-50.72594,164,5705
São Domingos do Jacapari e Estação,1,0.95,0.89,1,1,1,0.55,-2.82826,-67.38159,604,134781
São Francisco do Canimari,1,0.89,0.64,1,1,0.78,0.1,-3.3718,-68.33444,130,3331
São Leopoldo,1,0.97,0.91,0.5,1,0.61,0.5,-4.52,-69.74413,1062,69270
São Marcos,0.8,0.87,0.82,0.5,0.61,0.67,0.63,4.18691,-60.90666,5838,654110
São Pedro,1,0.8,0.51,1,1,0.78,0.1,-3.73767,-59.24442,93,726
São Pedro do Sepatini,1,1,0.93,0.6,1,0.61,1,-7.90823,-65.81085,123,27644
São Sebastião,1,0.99,0.83,0.4,1,1,0.5,-2.63064,-67.60252,494,61058
Sapotal,1,0.97,0.9,0.89,1,0.83,0.5,-4.24777,-69.5244,524,1264
Sararé,0.8,0.88,0.36,0.28,0.44,0.61,0.1,-14.83488,-59.48024,188,67420
Sarauá,1,0.73,0.56,0.29,0.67,0.78,0.5,-3.06081,-48.03339,184,18610
Sawré Muybu,0.35,0.94,0.73,0.49,0.61,0.56,0.48,-4.97667,-56.62135,168,178173
Sepoti,1,0.99,0.73,0.78,0.83,0.78,0.63,-6.83674,-61.61858,110,251349
Serra Morena,1,0.94,0.77,0.28,0.61,0.78,0.63,-11.01858,-59.38175,131,147836
Serra da Moça,1,0.85,0.63,0.72,0.61,0.67,1,3.27176,-60.6771,697,11626
Seruini/Marienê,1,0.98,0.9,0.89,1,0.83,0.63,-8.15826,-66.82078,159,144971
Sete de Setembro,1,0.91,0.56,0.56,0.61,0.78,0.65,-10.99318,-61.18569,1375,247870
Setemã,1,0.99,0.74,0.61,0.78,0.78,0.1,-5.01643,-60.08526,198,
Sissaíma,0.5,0.69,0.52,1,1,0.78,0.1,-3.42616,-59.41556,296,8780
Sororó,1,0.96,0.35,0.78,0.61,0.56,0.63,-5.93715,-48.68806,385,26258
Sucuba,1,0.94,0.71,0.78,0.83,0.56,0.64,2.96902,-61.16072,343,5983
Sururuá,0.45,0.99,0.92,0.89,1,0.83,0.5,-4.49279,-69.5447,197,36125
Tabalascada,1,0.69,0.6,0.4,0.61,0.67,0.65,2.67759,-60.57539,810,13014
Tabocal,1,0.85,0.66,1,0.83,0.78,0.1,-3.73189,-60.40609,16,907
Tadarimana,1,0.93,0.34,0.78,0.39,0.44,0.5,-16.53962,-54.50729,604,9785
Taego Ãwa,0.5,0.78,0.58,0.72,0.61,0.61,0.1,-11.94999,-49.79845,25,28510
Taihantesu,0.8,0.95,0.66,1,0.67,0.61,0.1,-14.10998,-59.54916,77,5372
Tapirapé/Karajá,1,0.87,0.82,0.67,0.78,0.78,0.63,-10.64175,-50.68066,512,66166
Tembé,1,0.66,0.61,0.78,1,0.78,0.21,-2.68646,-48.27358,148,1075
Tenharim Marmelos (Gleba B),1,0.95,0.76,0.78,0.83,0.78,1,-8.33821,-61.88736,535,497521
Tenharim do Igarapé Preto,1,0.94,0.89,0.5,1,0.56,0.65,-8.48184,-61.21779,100,87413
Tenharim/Marmelos,1,0.98,0.66,0.5,0.61,0.39,1,-8.33796,-61.88753,535,497521
Tereza Cristina,0.55,0.98,0.74,0.5,0.67,0.61,0.5,-16.55587,-55.10935,506,34149
Tikuna Feijoal,1,0.97,0.94,1,1,0.61,0.63,-4.36177,-69.44436,4510,40948
Tikuna Porto Espiritual,1,0.91,0.97,1,1,0.61,0.63,-4.51118,-69.81957,410,2839
Tikuna de Santo Antônio,1,0.36,0.64,1,1,0.61,0.63,-4.39759,-69.99424,1961,1065
Tirecatinga,1,0.97,0.71,0.72,0.44,0.39,0.6,-13.15625,-58.43031,174,130575
Torá,0.65,0.99,0.83,0.89,0.78,0.78,1,-6.30258,-61.67394,326,54961
Trincheira,1,0.87,0.55,1,1,0.78,0.61,-3.72907,-59.26755,251,1624
Trincheira/Bacajá,1,0.95,0.66,0.28,1,0.61,1,-4.55913,-51.50631,746,1650939
Trocará,1,0.94,0.34,0.4,0.33,0.78,0.63,-3.5804,-49.71837,565,21722
Trombetas/Mapuera,1,0.92,0.85,1,0.39,0.61,1,0.03353,-58.81775,811,3970898
Truaru,1,0.87,0.84,1,0.83,0.78,0.6,3.224,-60.96901,413,5653
Tubarão/Latundê,1,0.97,0.58,0.56,0.44,0.56,0.65,-12.64116,-60.62702,195,116613
Tukuna Umariaçu,1,0.79,0.67,1,0.78,0.61,0.63,-4.25756,-69.88742,7219,4854
Tumiã,1,1,0.89,0.82,1,0.83,0.63,-7.94218,-66.56754,66,124357
Tumucumaque,1,0.95,0.91,0.78,1,0.78,1,1.61011,-55.46079,2828,3071070
Tupã-Supé,1,0.99,0.63,0.6,1,1,0.5,-3.15645,-65.0273,11,8589
Turé-Mariquita,1,0.7,0.34,1,1,0.94,0.5,-2.29573,-48.33972,38,147
Tuwa Apekuokawera,0.3,0.29,0.47,1,0.61,0.72,0.1,-5.93996,-48.82045,404,11764
Uaçá I e II,1,0.9,0.9,0.78,0.44,0.61,0.9,3.55417,-51.49743,4462,470164
Uati-Paraná,1,0.99,0.91,1,1,1,0,-2.38578,-67.37722,772,129199
Ubawawe,0.8,0.82,0.63,1,0.61,0.44,0.1,-14.54104,-53.49638,395,52234
Uirapuru,0.25,0.68,0.79,0.72,0.67,0.56,0.1,-14.35852,-59.32239,28,21680
Umutina,1,0.91,0.39,0.61,0.78,0.5,0.61,-14.99054,-57.04299,489,28120
Uneiuxi,0.75,1,0.97,0.71,1,1,0.61,-1.47581,-66.77078,249,554332
Uru-Eu-Wau-Wau,0.8,0.92,0.58,0.18,0.44,0.61,0.55,-11.26384,-63.50467,209,1867120
Urubu Branco,0.8,0.67,0.71,0.4,0.83,0.78,0.63,-10.71841,-51.24762,583,167533
Urucu-Juruá,1,0.64,0.53,1,0.78,0.83,0.5,-5.36727,-45.92101,835,12697
Utaria Wyhyna/Iròdu Iràna,0.45,0.75,0.75,0.61,0.78,0.78,0.4,-10.16836,-50.29133,116,177466
Utiariti,0.8,0.97,0.65,0.72,0.67,0.28,0.61,-13.61465,-58.31259,406,412304
Vale do Guaporé,0.8,0.89,0.54,0.56,0.44,0.56,0.23,-13.90486,-59.84755,482,242593
Vale do Javari,1,0.94,0.75,0.28,1,0.78,1,-5.84921,-71.55666,6317,8544480
Vista Alegre,0.3,0.85,0.8,1,0.83,0.78,0.1,-3.69034,-60.48106,117,13206
Vui-Uata-In,1,0.98,0.73,0.89,1,0.78,0.1,-3.59565,-68.4053,1898,121198
WaiWái,1,0.96,0.79,0.5,0.44,0.78,0.57,1.42375,-59.62576,365,405698
Waiãpi,1,0.93,0.81,0.78,0.61,0.39,1,1.05743,-52.81883,1454,607017
Waimiri Atroari,1,0.96,0.84,1,0.61,0.5,0.6,-1.06371,-60.64393,2009,2585910
Wawi,0.8,0.9,0.91,1,1,1,0.65,-11.733,-53.05856,457,150328
Wedezé,0.1,0.82,0.83,1,1,0.5,0,-13.57307,-51.34662,100,145881
Xambioá,1,0.82,0.22,1,1,0.78,0.61,-7.12311,-49.15588,363,3326
Xerente,1,0.79,0.76,0.29,0.11,0.39,1,-9.57332,-48.1281,2693,167542
Xikrin do Cateté,1,0.91,0.5,0.28,0.78,0.61,0.5,-6.33005,-50.79048,1183,439151
Xingu,1,0.89,0.68,1,0.83,0.56,1,-12.10276,-53.43248,6090,2642004
Xipaya,1,0.98,0.93,0.5,1,0.67,0.61,-5.44189,-54.67256,173,178724
Yanomami,1,0.97,0.97,0.5,0.83,0.39,0.9,2.59788,-62.77429,26854,9664980
Zoró,0.8,0.89,0.85,0.18,1,0.56,1,-10.61781,-60.83181,711,355789
Zo´é,1,1,1,0.56,1,0.78,0.6,-0.24077,-55.80089,330,668565
Zuruahã,1,0.96,1,0.89,1,0.83,1,-6.8999,-66.39785,156,239070
